rawVCFname,pop,NEWname,sex
861530H,CH,861530,1
862783H,CH,862783,2
868867B1,CH,868867,1
871031H,CH,871031,1
871960H,CH,871960,1
875626H,CH,875626,1
877004H,CH,877004,1
877125H,CH,877125,1
877175H,CH,877175,1
877177H,CH,877177,2
877321H,CH,877321,1
877337H,CH,877337,2
877391H,CH,877391,2
877448A1,CH,877448,2
877475E1,CH,877475,2
877511H,CH,877511,2
877558H,CH,877558,2
877566H,CH,877566,2
877811H,CH,877811,1
877825F2,CH,877825,1
877825H,CH,877825,1
877861H,CH,877861,1
877921H,CH,877921,2
877922H,CH,877922,1
877925H,CH,877925,2
878735H,CH,878735,2
881115H,CH,881115,2
883063H11,CH,883063,2
889010D1,CH,889010,1
889131H,CH,889131,1
889182H,CH,889182,1
889183B12,CH,889183,2
889252H,CH,889252,1
889272E3,CH,889272,1
889378C12,CH,889378,1
889732E10,CH,889732,1
889746H3,CH,889746,1
889771C1,CH,889771,2
892465E2,CH,892465,2
895274G2,CH,895274,2
895818A4,CH,895818,2
896669A12,CH,896669,1
898070D12,CH,898070,2
898071G12,CH,898071,2
898074H12,CH,898074,2
898075G4,CH,898075,1
898089E12,CH,898089,1
898092F12,CH,898092,2
898172G9,CH,898172,1
898350F9,CH,898350,2
898630D4,CH,898630,2
898887G3,CH,898887,2
899009F1,CH,899009,1
AE01,AE,AE01,2
AE02,AE,AE02,2
AE03,AE,AE03,1
AE04,AE,AE04,2
AE05,AE,AE05,1
AE06,AE,AE06,1
AE07,AE,AE07,2
AE08,AE,AE08,1
AE09,AE,AE09,1
AE10,AE,AE10,2
AE11,AE,AE11,1
CH01,CH,898335,2
CH02,CH,898199,1
CH03,CH,898379,1
CH04,CH,898194,1
CH05,CH,M022121,1
CH06,CH,M022090,1
CH07,CH,M026047,1
CH08,CH,M005002,1
CH09,CH,M005030,1
CH10,CH,M011644,1
CH11,CH,M011184,1
CH12,CH,M011743,2
CH13,CH,M011852,1
CH14,CH,M011769,2
